10766,20360,Eric Ewing,6,folder,officesupplies,null,1,14.2,2021-01-23 11:26:24,Ecuador,Guayaquil,Muji,75357,Y, 
67045,86366,Caitlyn Simon,15,typingpaper,paper,Wallet,4,12.56,2021-06-04 13:26:24,Japan,Ōsaka,Oh, Hello Friend,90283,Y, 
66060,89538,Justin Duarte,12,eraser,writingutensils,UPI,3,4.32,2021-06-10 06:26:24,Iran,Mashhad,Quill,63624,Y, 
57718,34914,Keenan Ellison,18,ruler,measurement,Internet Banking,6,34.1,2021-12-17 08:26:24,Cambodia,Phnom Penh,Target,42410,Y, 
68805,15805,Kelsey Hull,13,marker,writingutensils,Card,5,68.23,2021-10-01 09:26:24,Nigeria,Lagos,Mochi Things,80485,Y, 
20993,76980,Tristen Small,22,ti84plus,calculatortypes,Card,5,68.23,2021-10-05 11:26:24,South Korea,Seoul,Quill,16267,Y, 
85777,80697,Elizabeth Gibson,20,basiccalculator,calculatortypes,Card,5,68.23,2021-07-19 12:26:24,Philippines,Quezon City,Poppin,44122,Y, 
99419,67363,Melany Chung,1,pen,writtingutensils,UPI,3,4.32,2021-09-26 08:26:24,Morocco,Casablanca,Urban Outfitters,26595,Y, 
75463,34164,Ryland Chambers,4,artpaper,paper,Internet Banking,6,34.1,2021-07-10 13:26:24,Algeria,Algiers,Tokyo Pen Shop,34302,Y, 
93591,71929,Elizabeth Gibson,1,pen,writtingutensils,UPI,3,4.32,2021-04-23 10:26:24,United States,New York,Crate & Barrel,59069,Y, 
64699,38326,Cole Kaiser,24,BAIIplus,calculatortypes,null,1,14.2,2021-08-03 11:26:24,China,Chongzuo,The Container Store,43964,Y, 
27527,11407,Darrell Orr,3,crayons,writingutensils,UPI,3,4.32,2021-01-21 14:26:24,Guatemala,Guatemala City,Target,60021,N,Invalid Expiration Date
36974,22498,Jayleen Hayden,17,coloredpencil,writingutensils,Wallet,8,23.21,2021-12-04 09:26:24,United States,New York,Office Supply,99883,Y, 
71335,32377,Brock Skinner,5,staples,measurement,UPI,3,4.32,2021-04-14 09:26:24,Japan,Ōsaka,W.B. Mason,24796,Y, 
29627,70689,Abdullah Raymond,21,ti84,calculatortypes,UPI,3,4.32,2021-12-08 10:26:24,Pakistan,Karachi,Kate Spade,41456,Y, 
65982,29769,Sariah Guerra,19,protractor,measurement,Wallet,4,12.56,2021-09-02 06:26:24,United States,Washington,Crane & Co.,35129,Y, 
42361,38794,Ann Michael,13,marker,writingutensils,UPI,7,56.58,2021-08-05 11:26:24,China,Shaoguan,Kate Spade,27409,Y, 
33988,29827,Zaniyah Skinner,14,gridpaper,paper,Card,5,68.23,2021-11-15 10:26:24,Sudan,Khartoum,Office Depot and Office Max,74099,Y, 
15367,49485,Greyson Wolf,20,basiccalculator,calculatortypes,UPI,3,4.32,2021-04-15 13:26:24,United States,San Diego,Catching Fireflies,43484,N,Insufficient Funds
86260,68765,Justin Duarte,6,folder,officesupplies,UPI,7,56.58,2021-03-27 09:26:24,United States,Houston,Dude I Want That,76723,Y, 
21342,17722,Esperanza Barnett,16,officechair,officesupplies,null,8,23.21,2021-11-21 14:26:24,Sudan,Khartoum,Kate Spade,98308,Y, 
45222,54728,Greta Brandt,3,crayons,writingutensils,Wallet,8,23.21,2021-01-23 14:26:24,Brazil,Salvador,Knock Knock,61609,Y, 
93645,38277,Giovanny Branch,25,ti83plus,calculatortypes,UPI,3,4.32,2021-12-15 12:26:24,United States,Seattle,Think Geek,18434,Y, 
80926,11473,August Sherman,14,gridpaper,paper,Card,5,68.23,2021-07-12 08:26:24,South Korea,Incheon,Supply Geeks,41586,Y, 
55340,50034,Eduardo Hebert,15,typingpaper,paper,Wallet,4,12.56,2021-04-16 11:26:24,United States,Los Angeles,Rifle Paper Co.,58409,Y, 
24987,95311,Nehemiah Griffith,6,folder,officesupplies,Wallet,4,12.56,2021-01-09 09:26:24,Brazil,Rio de Janeiro,Anthropologie,38975,Y, 
31953,44842,Tamia Dickson,8,ink,officesupplies,UPI,7,56.58,2021-10-23 11:26:24,China,Meishan,Night Owl Paper Goods,14480,Y, 
42114,93322,Benjamin Cline,7,clip,officesupplies,Wallet,4,12.56,2021-06-18 14:26:24,Saudi Arabia,Jeddah,Paper Source,74966,Y, 
75262,89674,Julianna Jacobson,12,eraser,writingutensils,Internet Banking,2,60.18,2021-11-16 10:26:24,Algeria,Algiers,Glam & Paper,61404,Y, 
73054,53915,Jorden Small,13,marker,writingutensils,UPI,3,4.32,2021-10-28 13:26:24,United States,Dallas,Office Depot and Office Max,92993,Y, 
13312,37823,Leila Odom,7,clip,officesupplies,null,1,14.2,2021-07-14 07:26:24,Ecuador,Guayaquil,Supply Geeks,96135,Y, 
14816,27095,Kenzie Heath,11,bin,officesupplies,Card,5,68.23,2021-06-05 13:26:24,Saudi Arabia,Jeddah,Moleskine,38862,N,Insufficient Funds
